A_0,η_0,A_1,η_1,skill_factor,success,labor_efficiency,Y_0,L_0,error_type
1.0,1.0,2.0,1.05,0.5,true,0.999987500156248,0.7653802067051887,0.6709464460252393,none
1.0,1.0,2.0,1.05,1.0,true,0.9999750006249845,0.7653728386155128,0.6709451923493133,none
1.0,1.0,2.0,1.05,2.0,true,0.9999500024998749,0.765358102906293,0.6709426850267124,none
1.0,1.0,2.0,1.05,3.0,true,0.9999250056245781,0.7653433678238812,0.6709401777431125,none
1.0,1.0,2.0,1.05,4.0,true,0.9999000099990001,0.7653286333682355,0.6709376704985122,none
1.0,1.0,2.0,1.05,5.0,true,0.9998750156230471,0.7653138995393134,0.6709351632929097,none
1.0,1.0,2.0,1.1,0.5,true,0.9999500024998749,0.765358102906293,0.6709426850267124,none
1.0,1.0,2.0,1.1,1.0,true,0.9999000099990001,0.7653286333682355,0.6709376704985122,none
1.0,1.0,2.0,1.1,2.0,true,0.9998000399920016,0.7652697018124658,0.6709276419100729,none
1.0,1.0,2.0,1.1,3.0,true,0.9997000899730081,0.7652107802815715,0.6709176139454976,none
1.0,1.0,2.0,1.1,4.0,true,0.9996001599360256,0.7651518687728521,0.670907586604685,none
1.0,1.0,2.0,1.1,5.0,true,0.9995002498750625,0.7650929672836078,0.6708975598875339,none
1.0,1.0,2.0,1.2,0.5,true,0.9998000399920016,0.7652697018124658,0.6709276419100729,none
1.0,1.0,2.0,1.2,1.0,true,0.9996001599360256,0.7651518687728521,0.670907586604685,none
1.0,1.0,2.0,1.2,2.0,true,0.9992006394884093,0.7649163229057407,0.6708674834770362,none
1.0,1.0,2.0,1.2,3.0,true,0.998801438274071,0.76468093717762,0.6708273903214947,none
1.0,1.0,2.0,1.2,4.0,true,0.998402555910543,0.7644457114161176,0.6707873071315938,none
1.0,1.0,2.0,1.2,5.0,true,0.998003992015968,0.7642106454491153,0.6707472339008741,none
1.0,1.0,2.0,1.3,0.5,true,0.9995502024089159,0.7651224167759643,0.670902573168158,none
1.0,1.0,2.0,1.3,1.0,true,0.9991008092716556,0.764857461467418,0.6708574592535186,none
1.0,1.0,2.0,1.3,2.0,true,0.9982032341784787,0.7643281584690513,0.6707672692717397,none
1.0,1.0,2.0,1.3,3.0,true,0.9973072703700011,0.7637996639955886,0.6706771296919954,none
1.0,1.0,2.0,1.3,4.0,true,0.9964129135113591,0.7632719760926514,0.670587040440906,none
1.0,1.0,2.0,1.3,5.0,true,0.9955201592832256,0.7627450928123505,0.670497001445295,none
1.0,1.0,2.5,0.7,0.5,true,0.9995502024089159,0.726363173135261,0.6208151117550309,none
1.0,1.0,2.5,0.7,1.0,true,0.9991008092716556,0.7261147823762806,0.6207773758482209,none
